,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,species
0,5.8,2.8,5.1,2.4,Iris-virginica
1,6.0,2.2,4.0,1.0,Iris-versicolor
2,5.5,4.2,1.4,0.2,Iris-setosa
3,7.3,2.9,6.3,1.8,Iris-virginica
4,5.0,3.4,1.5,0.2,Iris-setosa
5,6.3,3.3,6.0,2.5,Iris-virginica
6,5.0,3.5,1.3,0.3,Iris-setosa
7,6.7,3.1,4.7,1.5,Iris-versicolor
8,6.8,2.8,4.8,1.4,Iris-versicolor
9,6.1,2.8,4.0,1.3,Iris-versicolor
10,6.1,2.6,5.6,1.4,Iris-virginica
11,6.4,3.2,4.5,1.5,Iris-versicolor
12,6.1,2.8,4.7,1.2,Iris-versicolor
13,6.5,2.8,4.6,1.5,Iris-versicolor
14,6.1,2.9,4.7,1.4,Iris-versicolor
15,4.9,3.1,1.5,0.1,Iris-setosa
16,6.0,2.9,4.5,1.5,Iris-versicolor
17,5.5,2.6,4.4,1.2,Iris-versicolor
18,4.8,3.0,1.4,0.3,Iris-setosa
19,5.4,3.9,1.3,0.4,Iris-setosa
20,5.6,2.8,4.9,2.0,Iris-virginica
21,5.6,3.0,4.5,1.5,Iris-versicolor
22,4.8,3.4,1.9,0.2,Iris-setosa
23,4.4,2.9,1.4,0.2,Iris-setosa
24,6.2,2.8,4.8,1.8,Iris-virginica
25,4.6,3.6,1.0,0.2,Iris-setosa
26,5.1,3.8,1.9,0.4,Iris-setosa
27,6.2,2.9,4.3,1.3,Iris-versicolor
28,5.0,2.3,3.3,1.0,Iris-versicolor
29,5.0,3.4,1.6,0.4,Iris-setosa
30,6.4,3.1,5.5,1.8,Iris-virginica
31,5.4,3.0,4.5,1.5,Iris-versicolor
32,5.2,3.5,1.5,0.2,Iris-setosa
33,6.1,3.0,4.9,1.8,Iris-virginica
34,6.4,2.8,5.6,2.2,Iris-virginica
35,5.2,2.7,3.9,1.4,Iris-versicolor
36,5.7,3.8,1.7,0.3,Iris-setosa
37,6.0,2.7,5.1,1.6,Iris-versicolor
38,5.9,3.0,4.2,1.5,Iris-versicolor
39,5.8,2.6,4.0,1.2,Iris-versicolor
40,6.8,3.0,5.5,2.1,Iris-virginica
41,4.7,3.2,1.3,0.2,Iris-setosa
42,6.9,3.1,5.1,2.3,Iris-virginica
43,5.0,3.5,1.6,0.6,Iris-setosa
44,5.4,3.7,1.5,0.2,Iris-setosa
